title,link,summary
"[속보] 조은석 특검팀 ""30일까지 노상원 추가 기소""",https://n.news.naver.com/mnews/article/469/0000872548,조은석 특별검사팀이 30일까지 노상원 전 국군정보사령관에 대해 추가 기소하겠다는 입장을 내놨다. 12·3 불법계엄 관련 수사 중인 조 특검팀은 26일 서울중앙지법 형사합의25부(부장 지귀연) 심리로 열린 김용현 전
주말 전국 최대 60㎜ 비…'찜통더위'도 시작,https://n.news.naver.com/mnews/article/011/0004501993,이번 주말 최대 60㎜의 비가 내리는 가운데 다음 주에는 폭염 소식도 예보됐다. 26일 기상청 브리핑에 따르면 고기압 확장의 영향으로 토요일인 28일에는 중·남부지방에 비가 내릴 예정이다. 특히 남부지방에서는 대류가
"""오늘은 내가 구청장""…금천구, 첫 청렴시민구청장 위촉",https://n.news.naver.com/mnews/article/421/0008334134,"서울 금천구는 시민 눈높이에 맞춘 청렴 행정을 구현하기 위해 청렴시민구청장 2명을 위촉했다고 26일 밝혔다. 청렴시민구청장은 청렴 취약 현장을 직접 점검하고, 제도 개선을 제안하는 역할을 맡는다. 단순 자문이나 모니"
"대학총장들 한자리에…""디지털 대전환 속 교육 전면 재설계해야""",https://n.news.naver.com/mnews/article/001/0015471854,경주서 대교협 주최 하계 대학총장 세미나…디지털시대 인재 양성 논의 한국대학교육협의회(대교협)가 주최하는 2025년 하계 대학총장 세미나가 26∼27일 경북 경주에서 열린다. 세미나에서는 '디
초등생 살해 협박' 20대 男 구속송치…헌재 방화·킨텍스 폭파 예고도,https://n.news.naver.com/mnews/article/003/0013325526,인터넷 커뮤니티에 초등학생을 살해하겠다고 예고했던 20대 남성이 구속 상태로 검찰에 넘겨졌다. 수사 과정에서 피의자가 서울 종로구 헌법재판소와 고양 일산서구 킨텍스 등을 향한 공격 등을 암시한 사실도 추가로 파악됐다
속도 붙는 성북 장위10구역 재개발… 사랑제일교회 부지 제외하고 추진,https://n.news.naver.com/mnews/article/081/0003552567,그동안 지지부진했던 서울 성북구 장위10구역 재개발 사업에 속도가 붙을 전망이다. 성북구는 최근 장위10구역 재개발 사업과 관련해 사랑제일교회 부지를 제외하고 추진하는 내용이 담긴 사업시행계획 변경안을 인가했다고 2
"부산 해군기지 드론으로 염탐·보고했던 중국인들, 구속 조치",https://n.news.naver.com/mnews/article/014/0005368657,지난해 부산 해군기지 일대를 드론으로 불법촬영해 중국 사회관계망서비스(SNS)에 전파하다 적발된 중국인들에 이적행위 등의 혐의가 적용돼 법원의 구속영장이 발부됐다. 부산경찰청은 일반이적에 관한 법과 군사기지법 위반
"[속보] 대구시, 도시철도 5, 6호선 노선 공개···기존 노선 연장 계획도 발표",https://n.news.naver.com/mnews/article/657/0000039894,"대구 도시철도 5호선과 6호선, 기존 노선 연장 등 향후 10년간 5조 1,400억 원을 투입해서 진행할 대구의 도시철도 청사진이 공개됐습니다. 대구시는 6월 26일 오후 2시 북구 칠성동 iM 뱅크 제2 본점 대강"
프랜차이즈 매출 절반이 배달 플랫폼…매출의 24%가 수수료,https://n.news.naver.com/mnews/article/001/0015470574,"서울시 186개 가맹점 대상 첫 실태조사…플랫폼 의존도 높아 '배달 플랫폼 상생지수' 개발…불공정 구조 개선 대책 마련 서울시 내 치킨, 커피, 햄버거 등 프랜차이즈 가맹점 매출의 절반가량이 배달 플랫폼을 통해 발생"
속옷에 숨겨 들여왔다…강남의 수상한 '수면방' 알고보니,https://n.news.naver.com/mnews/article/015/0005149948,"서울 강남의 한 남성 전용 수면방에서 마약을 투약하거나 유통한 일당이 경찰에 붙잡혔다. 서울은평경찰서는 마약류관리법 위반 혐의 등을 받는 밀반입책·유통책·투약자·장소 제공자 15명을 검거하고, 이 중 7명을 구속했다"
